Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40916679,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,"=""1405293187""","=""9781405293181""",3,4.33,Electric Monkey,Paperback,433,2019,2019,2021/02/01,2021/02/02,"2021, ebook, kindle, own, ya-sjw-book-club","2021 (#5), ebook (#166), kindle (#106), own (#102), ya-sjw-book-club (#33)",read,"3.5/5 - Blasted through the book in one night, so I did very much enjoy it, but I suspect that had I taken longer to read it, I would've found the plot and motivations much more of a stretch.",,,1,,,0,,,,,
1166599,"The Gathering Storm (The Wheel of Time, #12)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""0765302306""","=""9780765302304""",3,4.36,Tor Books,Hardcover,783,2009,2009,2021/01/31,2021/01/31,"2021, ebook, kindle, spl","2021 (#4), ebook (#165), kindle (#105), spl (#76)",read,"3.5/5 - I gave up reading WoT after Winter’s Heart, but with Sanderson finishing the series, I figured I’d actually get around to getting some closure. It doesn’t bode super well that I felt like I didn’t really miss too much despite having skipped two whole books, but it was kind of amazing how quickly I fell back into the universe. A lot of plot actually happens over the course of the book though, which was refreshing. Going to continue reading.",,,1,,,0,,,,,
39298848,"White Sand, Volume 3 (White Sand, #3)",Brandon Sanderson,"Sanderson, Brandon","Rik Hoskin, Fritz Casas","=""""","=""""",0,3.68, Dynamite Entertainment,Hardcover,160,2019,2019,2021/01/20,2021/01/20,,,read,,,,1,,,0,,,,,
33551363,"White Sand, Volume 2 (White Sand, #2)",Brandon Sanderson,"Sanderson, Brandon","Rik Hoskin, Julius Gopez","=""152410342X""","=""9781524103422""",0,3.55,Dynamite Entertainment,Hardcover,160,2018,2018,2021/01/20,2021/01/20,,,read,,,,1,,,0,,,,,
28862254,"White Sand, Volume 1 (White Sand, #1)",Brandon Sanderson,"Sanderson, Brandon","Rik Hoskin, Julius Gopez","=""1606908855""","=""9781606908853""",0,3.64,Dynamic Forces,Hardcover,160,2016,2016,2021/01/20,2021/01/20,,,read,,,,1,,,0,,,,,
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326388""","=""9780765326386""",3,4.66,Tor Books,Hardcover,1232,2020,2020,2021/01/05,2021/01/07,"2021, ebook, kindle, spl","2021 (#3), ebook (#164), kindle (#104), spl (#75)",read,"3.5/5 - While I enjoyed the book more or less the same as the other books in the series, I'm torn as to how I feel about the greater Cosmere coming more into play. This book really starts to weave together details from his other series, which on one hand is pretty cool to see finally come to fruition, but on the other, I don't remember nearly that much about those details, as they've been spread out over so many books and years. Suffice it to say that I'm spending a lot of time on Coppermind after reading this to figure out exactly what's going on.",,,1,,,0,,,,,
12813630,The Coldest Girl in Coldtown,Holly Black,"Black, Holly",,"=""0316213101""","=""9780316213103""",4,3.83,"Little, Brown Books for Young Readers",Hardcover,419,2013,2013,2021/01/02,2021/01/02,"2021, ebook, kindle, spl, ya-sjw-book-club","2021 (#2), ebook (#163), kindle (#103), spl (#74), ya-sjw-book-club (#32)",read,"Liked this alternative(-ish) take on vampires. Had a similar feel to Feed, and I blitzed through this quite quickly and didn't really sweat the details.",,,2,,,0,,,,,
53598723,How Buildings Learn: What Happens After They're Built,Stewart Brand,"Brand, Stewart",,"=""""","=""""",5,4.35,,Kindle Edition,,1995,1994,2021/01/01,2020/07/12,"2021, ebook, kindle, spl","2021 (#1), ebook (#162), kindle (#102), spl (#73)",read,"Shockingly relatable to my own field of software development, though still pretty fascinating even if you aren't into building or software architecture. One of the better arguments for agile that I've ever read.",,,1,,,0,,,,,
28954126,"Ghost (Track, #1)",Jason  Reynolds,"Reynolds, Jason",,"=""1481450158""","=""9781481450157""",3,4.22,Atheneum/Caitlyn Dlouhy Books,Hardcover,181,2016,2016,2020/12/01,2020/12/02,"2020, ebook, kindle, own, ya-sjw-book-club","2020 (#26), ebook (#161), kindle (#101), own (#101), ya-sjw-book-club (#31)",read,"It was fine - quite predictable and not terribly deep, but nice.",,,1,,,0,,,,,
51179882,"Lobizona (Wolves of No World, #1)",Romina Garber,"Garber, Romina",Romina Russell,"=""1250239125""","=""9781250239129""",4,4.22,Wednesday Books,Hardcover,400,2020,2020,2020/10/27,2020/10/28,"2020, ebook, kindle, own, ya-sjw-book-club","2020 (#25), ebook (#160), kindle (#100), own (#100), ya-sjw-book-club (#30)",read,"Not too much to note here - an enjoyable read, and good enough that I actually do want to read the sequel.",,,1,,,0,,,,,
